2026-09-13 00:29:18,385 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf': embedded pages 151-180 of 360.
2026-09-13 00:29:21,249 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' were stored for user 1.
2026-09-13 00:29:21,250 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf': embedded pages 181-210 of 360.
2026-09-13 00:29:23,709 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' were stored for user 1.
2026-09-13 00:29:23,709 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf': embedded pages 211-240 of 360.
2026-09-13 00:29:26,352 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' were stored for user 1.
2026-09-13 00:29:26,352 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf': embedded pages 241-270 of 360.
2026-09-13 00:29:28,993 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' were stored for user 1.
2026-09-13 00:29:28,994 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf': embedded pages 271-300 of 360.
2026-09-13 00:29:31,699 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' were stored for user 1.
2026-09-13 00:29:31,700 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf': embedded pages 301-330 of 360.
2026-09-13 00:29:34,446 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' were stored for user 1.
2026-09-13 00:29:34,447 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf': embedded pages 331-360 of 360.
2026-09-13 00:29:34,447 | INFO | app.rag.pipeline | Ingested 360 page image(s) from 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf' for user 1 using the 'clip' backend.
2026-09-13 00:29:34,447 | INFO | app.rag.ingest_raw |   done: 360 page image(s) stored for 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_دوم_1402.pdf'.
2026-09-13 00:29:34,447 | INFO | app.rag.ingest_raw | Raw PDF ingestion finished: 2 ingested, 0 skipped.
2026-09-13 00:36:05,963 | WARNING | app.rag.llm | Ollama request timed out after 15s.
2026-09-13 00:36:05,963 | WARNING | app.rag.pipeline | Query rewriting produced an invalid/empty result; falling back to original question.
2026-09-13 00:36:07,406 | INFO | app.rag.pipeline | Image retrieval: 10 candidate(s), 0 relevant page(s), threshold=0.350 for user 1.
2026-09-13 00:36:07,406 | INFO | app.rag.pipeline | 0 text chunk(s) and 0 page image(s) retrieved for user 1.
INFO:     127.0.0.1:3014 - "POST /api/boom/chat HTTP/1.1" 200 OK
2026-09-13 00:39:40,421 | INFO | app.rag.pipeline | Original Query: 'چنتا تست حسابان از نشر الگو به من بده' -> Rewritten Query: 'چندین تست حساب دیفرانسیل و انتگرال از منابع معتبر و الگوها برای تمرین و ارزیابی مهارت‌هایم در این زمینه ارائه دهید.'
2026-09-13 00:39:40,589 | INFO | app.rag.pipeline | Image retrieval: 10 candidate(s), 0 relevant page(s), threshold=0.350 for user 1.
2026-09-13 00:39:40,589 | INFO | app.rag.pipeline | 0 text chunk(s) and 0 page image(s) retrieved for user 1.
INFO:     127.0.0.1:13856 - "POST /api/boom/chat HTTP/1.1" 200 OK
2026-09-13 00:48:08,061 | WARNING | app.rag.llm | Ollama request timed out after 15s.
2026-09-13 00:48:08,063 | WARNING | app.rag.pipeline | Query rewriting produced an invalid/empty result; falling back to original question.
2026-09-13 00:48:09,373 | INFO | app.rag.pipeline | Image retrieval: 10 candidate(s), 0 relevant page(s), threshold=0.350 for user 1.
2026-09-13 00:48:09,373 | INFO | app.rag.pipeline | 0 text chunk(s) and 0 page image(s) retrieved for user 1.
INFO:     127.0.0.1:14990 - "POST /api/boom/chat HTTP/1.1" 200 OK
